book_id,books_count,isbn13,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,Ratings_Dist
2767052,272,9780439023480.0,Suzanne Collins,2008,The Hunger Games,eng,4.34,4780653,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,Between 4-5
3,491,9780439554930.0,J.K. Rowling,1997,Harry Potter and the Philosopher's Stone,eng,4.44,4602479,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,Between 4-5
2657,487,9780061120080.0,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,Between 4-5
4671,1356,9780743273560.0,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,Between 3-4
11870085,226,9780525478810.0,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,Between 4-5
5907,969,9780618260300.0,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,eng,4.25,2071616,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,Between 4-5
5107,360,9780316769170.0,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,Between 3-4
960,311,9781416524790.0,Dan Brown,2000,Angels & Demons ,eng,3.85,2001311,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,Between 3-4
1885,3455,9780679783270.0,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,Between 4-5
77203,283,9781594480000.0,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,1813044,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,Between 4-5
13335037,210,9780062024040.0,Veronica Roth,2011,Divergent,eng,4.24,1903563,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,Between 4-5
5470,995,9780451524940.0,George Orwell,1949,Nineteen Eighty-Four,eng,4.14,1956832,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,Between 4-5
7613,896,9780452284240.0,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1881700,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,Between 3-4
48855,710,9780553296980.0,Anne Frank,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,Between 4-5
2429135,274,9780307269750.0,Stieg Larsson,2005,Män som hatar kvinnor,eng,4.11,1808403,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,Between 4-5
6148028,201,9780439023500.0,Suzanne Collins,2009,Catching Fire,eng,4.3,1831039,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,Between 4-5
5,376,9780439655480.0,J.K. Rowling,1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,Between 4-5
34,566,9780618346260.0,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,1766803,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,Between 4-5
7260188,239,9780439023510.0,Suzanne Collins,2010,Mockingjay,eng,4.03,1719760,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,Between 4-5
2,307,9780439358070.0,J.K. Rowling,2003,Harry Potter and the Order of the Phoenix,eng,4.46,1735368,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,Between 4-5
12232938,183,9780316166680.0,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,Between 3-4
15881,398,9780439064870.0,J.K. Rowling,1998,Harry Potter and the Chamber of Secrets,eng,4.37,1779331,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,Between 4-5
6,332,9780439139600.0,J.K. Rowling,2000,Harry Potter and the Goblet of Fire,eng,4.53,1753043,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,Between 4-5
136251,263,9780545010220.0,J.K. Rowling,2007,Harry Potter and the Deathly Hallows,eng,4.61,1746574,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,Between 4-5
968,350,9780307277670.0,Dan Brown,2003,The Da Vinci Code,eng,3.79,1447148,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,Between 3-4
